item_num,ele1,description,fabrication_id,item_size,inventory_type,season,season_yr,prod_line,sbu_id,ats,avail_date,warehouse_id,inv_status,cc_sort,company,item_image,item_description_long,commodity,commodity_description,item_num_display,wholesale,msrp,landed_cost,compute_0025,latest_receipt_date,body_number,image_file_path,ele2,ele3,ele4,ele5,item_class,collection_group_code,description
ALBANY,280,IVORY,,306  ,S,S ,2023,ROSS,CDL,40,10/16/2023,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY 60X120 TABLECLOTH,TABLECLOTH,TABLECLOTH,ALBANY-280-306,0,0,3.53,A,10/17/2023 00:00:00,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,306, , , ,FG  ,,
ALBANY,302,SAGE,,302  ,S,S ,2022,ROSS,CDL,1600,01/05/2024,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY 60/84 TABLECLOTH,TABLECLOTH,TABLECLOTH,ALBANY-302-302,0,0,2.63,A,8/15/2023 00:00:00,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,302, , , ,FG  ,,
ALBANY,302,SAGE,,304  ,S,S ,2022,ROSS,CDL,1600,01/05/2024,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY 60/104 TABLECLOTH,TABLECLOTH,TABLECLOTH,ALBANY-302-304,0,0,3.1,A,8/15/2023 00:00:00,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,304, , , ,FG  ,,
ALBANY,460,TEAL,,313  ,S,S ,2024,ROSS,CDL,0,,DIR,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY S/4 PLACEMATS,TABLECLOTH,TABLECLOTH,ALBANY-460-313,0,0,2.14,A,,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,313, , , ,FG  ,COR       ,CORE
ALBANY,460,TEAL,,313  ,S,S ,2024,ROSS,CDL,0,03/06/2024,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY S/4 PLACEMATS,TABLECLOTH,TABLECLOTH,ALBANY-460-313,0,0,2.14,A,,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,313, , , ,FG  ,COR       ,CORE
ALBANY,460,TEAL,,314  ,S,S ,2024,ROSS,CDL,0,,DIR,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY 14X72 RUNNER,TABLECLOTH,TABLECLOTH,ALBANY-460-314,0,0,2.09,A,,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,314, , , ,FG  ,COR       ,CORE
ALBANY,460,TEAL,,314  ,S,S ,2024,ROSS,CDL,0,01/27/2024,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY 14X72 RUNNER,TABLECLOTH,TABLECLOTH,ALBANY-460-314,0,0,2.09,A,,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,314, , , ,FG  ,COR       ,CORE
ALBANY,600,RED,,302  ,S,S ,2024,ROSS,CDL,141,09/08/2023,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY 60X84 TC,TABLECLOTH,TABLECLOTH,ALBANY-600-302,0,0,2.65,A,9/22/2023 00:00:00,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,302, , , ,FG  ,,
ALBANY,650,PINK,,313  ,S,S ,2024,ROSS,CDL,0,,DIR,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY S/4 PLACEMATS,TABLECLOTH,TABLECLOTH,ALBANY-650-313,0,0,2.14,A,,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,313, , , ,FG  ,COR       ,CORE
ALBANY,650,PINK,,313  ,S,S ,2024,ROSS,CDL,0,03/06/2024,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY S/4 PLACEMATS,TABLECLOTH,TABLECLOTH,ALBANY-650-313,0,0,2.14,A,,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,313, , , ,FG  ,COR       ,CORE
